airline_name,iata_code,icao_code,callsign,country
1Time Airline,1T,RNX,NEXTIME,South Africa
40-Mile Air,Q5,MLA,MILE-AIR,United States
Ansett Australia,AN,AAA,ANSETT,Australia
Abacus International,1B,,,Singapore
Abelag Aviation,W9,AAB,ABG,Belgium
Aigle Azur,ZI,AAF,AIGLE AZUR,France
Aloha Airlines,AQ,AAH,ALOHA,United States
American Airlines,AA,AAL,AMERICAN,United States
Asiana Airlines,OZ,AAR,ASIANA,Republic of Korea
Askari Aviation,4K,AAS,AL-AAS,Pakistan
Afriqiyah Airways,8U,AAW,AFRIQIYAH,Libya
Afrinat International Airlines,Q9,AFU,,Gambia
Allegiant Air,G4,AAY,ALLEGIANT,United States
Aban Air,K5,ABE,ABAN,Iran
ABSA - Aerolinhas Brasileiras,M3,TUS,ABSA Cargo,Brazil
Airborne Express,GB,ABX,ABEX,United States
ABX Air,GB,ABX,ABEX,United States
Astral Aviation,8V,ACP,ASTRAL CARGO,Kenya
Aero Asia International,E4,RSO,AERO ASIA,Pakistan
Air Togo,YT,TGA,AIR TOGO,Togo
Advance Leasing Company,4G,,,United States
Aztec Worldwide Airlines,7A,,,United States
Air Tindi,8T,,,Canadian Territories
Ada Air,ZY,ADE,ADA AIR,Albania
ADC Airlines,Z7,ADK,ADCO,Nigeria
Adria Airways,JP,ADR,ADRIA,Slovenia
Air Europa,UX,AEA,EUROPA,Spain
Aero Benin,EM,AEB,AEROBEN,Benin
Aegean Airlines,A3,AEE,AEGEAN,Greece
Air Atlantique,KI,AAG,ATLANTIC,United Kingdom
Air Europe,PE,AEL,AIR EUROPE,Italy
Alaska Central Express,KO,AER,ACE AIR,United States
Astraeus,5W,AEU,FLYSTAR,United Kingdom
Aerosvit Airlines,VV,AEW,AEROSVIT,Ukraine
Air Italy,I9,AEY,AIR ITALY,Italy
American Falcon,WK,AFB,AMERICAN FALCON,Argentina
Alliance Airlines,QQ,UTY,UNITY,Australia
Ariana Afghan Airlines,FG,AFG,ARIANA,Afghanistan
Aeroflot Russian Airlines,SU,AFL,AEROFLOT,Russia
Air Bosna,JA,BON,AIR BOSNA,Bosnia and Herzegovina
Air France,AF,AFR,AIRFRANS,France
Air Caledonie International,SB,ACI,AIRCALIN,France
Air Gabon,GN,AGN,GOLF NOVEMBER,Gabon
Air Salone,2O,,,Sierra Leone
Air Cargo Carriers,2Q,SNC,NIGHT CARGO,United States
Air Senegal International,V7,SNG,AIR SENEGAL,Senegal
Air Namibia,SW,NMB,NAMIBIA,Namibia
Air Service Gabon,G8,AGB,,Gabon
Aerolitoral,5D,SLI,COSTERA,Mexico
Amadeus Global Travel Distribution,1A,AGT,AMADEUS,Spain
Air Glaciers,7T,AGV,AIR GLACIERS,Switzerland
Aeroper,PL,PLI,Aeroperu,Peru
Atlas Blue,8A,BMM,ATLAS BLUE,Morocco
Air Alpha Greenland,GD,AHA,AIR ALPHA,Denmark
Air Hong Kong,LD,AHK,AIR HONG KONG,Hong Kong
Aeromist-Kharkiv,HT,AHW,AEROMIST,Ukraine
Azerbaijan Airlines,J2,AHY,AZAL,Azerbaijan
Avies,U3,AIA,AVIES,Estonia
Airbus Industrie,AP,AIB,AIRBUS INDUSTRIE,France
Alpine Air Express,5A,AIP,ALPINE AIR,United States
Airblue,ED,ABQ,PAKBLUE,Pakistan
Air Berlin,AB,BER,AIR BERLIN,Germany
Air Contractors,AG,ABR,CONTRACT,Ireland
Air India Limited,AI,AIC,AIRINDIA,India
Air Bourbon,ZB,BUB,BOURBON,Reunion
Air Atlanta Icelandic,CC,ABD,ATLANTA,Iceland
Air Srpska,RB,SBK,Air Srpska,Bosnia and Herzegovina
Air Tahiti Nui,TN,THT,TAHITI AIRLINES,France
Aero Services Executive,W4,BES,BIRD EXPRESS,France
Arkia Israel Airlines,IZ,AIZ,ARKIA,Israel
Air Jamaica,JM,AJM,JAMAICA,Jamaica
Air One,AP,ADH,HERON,Italy
Air Sahara,S2,RSH,SAHARA,India
Air Malta,KM,AMC,AIR MALTA,Malta
Amerijet International,M6,AJT,AMERIJET,United States
Air Japan,NQ,AJX,AIR JAPAN,Japan
Air Kiribati,4A,AKL,,Kiribati
Air Nippon Network Co. Ltd.,EH,AKX,ALFA WING,Japan
America West Airlines,HP,AWE,CACTUS,United States
Air Wisconsin,ZW,AWI,AIR WISCONSIN,United States
Tatarstan Airlines,U9,TAK,TATARSTAN,Russia
Air Libert,VD,,,France
Air Lithuania,TT,KLA,KAUNAS,Lithuania
Air Malawi,QM,AML,MALAWI,Malawi
Air Sicilia,BM,,,Italy
Air Macau,NX,AMU,AIR MACAO,Macao
Air Midwest,ZV,AMW,AIR MIDWEST,United States
Air Seychelles,HM,SEY,SEYCHELLES,Seychelles
AeroMéxico,AM,AMX,AEROMEXICO,Mexico
All Nippon Airways,NH,ANA,ALL NIPPON,Japan
Air Nostrum,YW,ANE,AIR NOSTRUM,Spain
Air Niugini,PX,ANG,NUIGINI,Papua New Guinea
Air Arabia,G9,ABY,ARABIA,United Arab Emirates
Air Canada,AC,ACA,AIR CANADA,Canada
Air Baltic,BT,BTI,AIRBALTIC,Latvia
Air Nippon,EL,ANK,ANK AIR,Japan
Airnorth,TL,ANO,TOPEND,Australia
Air North Charter - Canada,4N,ANT,AIR NORTH,Canada
AOM French Airlines,IW,AOM,French Lines,France
Air New Zealand,NZ,ANZ,NEW ZEALAND,New Zealand
AVCOM,J6,AOC,AERO AVCOM,Russia
Aero VIP,2D,AOG,AVIP,Argentina
Air Vegas,6V,VGA,AIR VEGAS,United States
Alitalia Express,XM,SMX,ALIEXPRESS,Italy
Asia Overnight Express,OE,AOT,ASIA OVERNIGHT,Philippines
Aero Flight,GV,ARF,Aero Fox,Germany
Arrow Air,JW,APW,BIG A,United States
Arik Air,W3,ARA,ARIK AIR,Nigeria
Aerocondor,2B,ARD,AEROCONDOR,Portugal
Aires,4C,ARE, Aerovias de Integracion Regional, S.A.
Aerolineas Argentinas,AR,ARG,ARGENTINA,Argentina
Air Armenia,QN,ARR,AIR ARMENIA,Armenia
Alaska Airlines,AS,ASA, Inc.,ALASKA
Air Sinai,4D,ASD,AIR SINAI,Egypt
Airstars,PL,ASE,MOROZOV,Russia
Atlantic Southeast Airlines,EV,ASQ,ACEY,United States
Astrakhan Airlines,OB,ASZ,AIR ASTRAKHAN,Russia
Air Tanzania,TC,ATC,TANZANIA,Tanzania
Air Burkina,2J,VBW,BURKINA,Burkina Faso
Aero-Tropics Air Services,HC,ATI,,Australia
Airlines Of Tasmania,FO,ATM,AIRTAS,Australia
Air Saint Pierre,PJ,SPM,,France
Air Transport International,8C,ATN,AIR TRANSPORT,United States
Austrian Airlines,OS,AUA,AUSTRIAN,Austria
Augsburg Airways,IQ,AUB,AUGSBURG-AIR,Germany
AirBridge Cargo,RU,ABW,AIRBRIDGE CARGO,Russia
Abu Dhabi Amiri Flight,MO,AUH,SULTAN,United Arab Emirates
Aeroflot-Nord,5N,AUL,DVINA,Russia
Aurigny Air Services,GR,AUR,AYLINE,United Kingdom
Aus-Air,NO,AUS,,Australia
